name,body,transmission,fuel
"Aston Martin VantageV8 S Coupe AT

Ask price",Coupe,Automatic,Gasoline
"Aston Martin VantageV8 S Coupe N430

Ask price",Coupe,Automatic,Gasoline
"Aston Martin VantageV12 S Coupe

Ask price",Coupe,Automatic,Gasoline
"GAC GA4GA4 1.5 MT

P788,000",Sedan,Manual,Gasoline
"GAC GA4GA4 1.3 Turbo AT

P988,000",Sedan,Automatic,Gasoline
"GAC GM8GM8 2.0 AT

P2,880,000",Van,Automatic,Gasoline
"GAC GA82.0 GE AT

P1,988,000",Sedan,Automatic,Gasoline
"GAC GA8GA8 2.0 GL AT

P2,288,000",Sedan,Automatic,Gasoline
"GAC GS82.0 4x2 GE

P1,880,000",SUV,Automatic,Gasoline
"GAC GS82.0 4x2 GL

P2,188,000",SUV,Automatic,Gasoline
"GAC GS82.0 4x4 GL

P2,388,000",SUV,Automatic,Gasoline
"Alfa Romeo GiuliaQuadrofoglio

Ask price",Sedan,Automatic,Gasoline
"Alfa Romeo GiuliaSuper

Ask price",Sedan,Automatic,Gasoline
"MG RX5RX5 Core MT

P1,058,888",SUV,Manual,Gasoline
"MG RX5RX5 Style AT

P1,228,888",SUV,Automatic,Gasoline
"Hyundai Tucson2.0 GL 4x2 AT

P1,448,000",SUV,Automatic,Gasoline
"Hyundai Tucson2.0 CRDi GL 4x2 AT

P1,715,000",SUV,Automatic,Gasoline
"Hyundai Tucson2.0 GL 4x2 MT

P1,368,000",SUV,Manual,Gasoline
"Hyundai Tucson2.0 CRDi GLS 4x2 AT

P1,885,000",SUV,Automatic,Diesel
"Mazda MX-5RF 2.0 AT

P2,250,000",Convertible,Automatic,Gasoline
"Mazda MX-5RF 2.0 MT

P2,200,000",Convertible,Manual,Gasoline
"Mazda MX-5RF 2.0 AT with Nappa Leather Interior

P2,300,000",Convertible,Automatic,Gasoline
"Mazda MX-5RF 2.0 AT with Nappa Leather Interior (Machine Gray)

P2,316,800",Convertible,Automatic,Gasoline
"Mazda MX-52.0 SkyActiv MT

P1,930,000",Convertible,Manual,Gasoline
"Mazda MX-52.0 SkyActiv AT

P2,160,000",Convertible,Automatic,Gasoline
"Mazda MX-52.0 SkyActiv AT Cherry Soft Top with Nappa Leather

P2,160,000",Convertible,Automatic,Gasoline
"Mazda MX-52.0 SkyActiv Cherry Soft Top AT

P2,240,000",Coupe,Automatic,Gasoline
"Mazda MX-52.0 SkyActiv Caramel Soft Top AT

P2,240,000",Coupe,Automatic,Gasoline
"Mazda MX-5RF 2.0 Club Edition AT

P2,680,000",Coupe,Automatic,Gasoline
"Mazda MX-5SKYACTIV DRIVE 6-Speed Automatic 30th Anniversary Edition

P2,990,000",Convertible,Automatic,Gasoline
"Mazda MX-5SKYACTIV DRIVE 6-Speed Manual 30th Anniversary Edition

P2,990,000",Convertible,Manual,Gasoline
"Ford Explorer2.3 Limited EcoBoost 4x2 AT

P2,798,000 Promo Available",SUV,Automatic,Gasoline
"Ford Explorer3.5 Sport V6 EcoBoost 4x4 AT

P3,178,000 Promo Available",SUV,Automatic,Gasoline
"Chevrolet Colorado2.5 4x2 MT LT

P1,248,888 Promo Available",Pickup,Manual,Diesel
"Chevrolet Colorado2.8 4x2 AT LT

P1,264,888 Promo Available",Pickup,Automatic,Diesel
"Chevrolet Colorado2.8 4x4 LTZ AT

P1,571,888 Promo Available",Pickup,Automatic,Diesel
"Chevrolet Colorado2.8 4x4 LTZ MT

P1,539,888 Promo Available",Pickup,Manual,Diesel
"Chevrolet Colorado2.8 4x2 LTX AT

P1,418,888 Promo Available",Pickup,Automatic,Diesel
"Chevrolet Colorado2.8 4x4 AT High Country Storm

P1,638,888 Promo Available",Pickup,Automatic,Diesel
"Subaru Levorg2.0 GT-S CVT with EyeSight

P1,998,000 Promo Available",Wagon/Hatchback,Automatic,Gasoline
"Ford EcoSport1.5 Ambiente MT

P920,000",SUV,Manual,Gasoline
"Ford EcoSport1.5 Trend MT

P970,000 Promo Available",SUV,Manual,Gasoline
"Ford EcoSport1.5 Trend AT

P1,030,000 Promo Available",SUV,Automatic,Gasoline
"Ford EcoSport1.0 EcoBoost Titanium AT

P1,190,000",SUV,Automatic,Gasoline
"Ford EcoSport1.5 Titanium AT

P1,100,000",SUV,Automatic,Gasoline
"Honda HR-V1.8 E CVT

P1,295,000 Promo Available",SUV,Automatic,Gasoline
"Honda HR-V1.8 RS Navi CVT

P1,495,000 Promo Available",SUV,Automatic,Gasoline
"Jeep Renegade1.4 Limited F

P2,190,000",SUV,Automatic,Gasoline
"Lexus ES350

P4,388,000",Sedan,Automatic,Gasoline
"Hyundai Santa Fe / Grand Santa Fe2.2 CRDi GLS 4x2 AT

P2,538,000",SUV,Automatic,Diesel
"BMW 1 SeriesHatchback 118i M Sport

P2,690,000",Wagon/Hatchback,Automatic,Gasoline
"Toyota Vios1.3 Base MT

P662,000 Promo Available",Sedan,Manual,Gasoline
"Toyota Vios1.3 J MT

P688,000 Promo Available",Sedan,Manual,Gasoline
"Toyota Vios1.3 E MT

P831,000 Promo Available",Sedan,Manual,Gasoline
"Toyota Vios1.3 E CVT

P881,000 Promo Available",Sedan,Automatic,Gasoline
"Toyota Vios1.5 G MT

P981,000 Promo Available",Sedan,Manual,Gasoline
"Toyota Vios1.5 G MT White Pearl

P996,000 Promo Available",Sedan,Manual,Gasoline
"Toyota Vios1.5 G CVT

P1,043,000 Promo Available",Sedan,Automatic,Gasoline
"Toyota Vios1.5 G CVT (White Pearl)

P1,058,000 Promo Available",Sedan,Automatic,Gasoline
"Toyota Vios1.3 E Prime CVT

P936,000 Promo Available",Sedan,Automatic,Gasoline
"Toyota Vios1.3 E Prime MT

P886,000 Promo Available",Sedan,Manual,Gasoline
"Toyota Vios1.5 G Prime CVT

P1,098,000 Promo Available",Sedan,Automatic,Gasoline
"Toyota Vios1.5 G Prime CVT (White Pearl)

P1,113,000 Promo Available",Sedan,Automatic,Gasoline
"Toyota Vios1.3 XE

P738,000 Promo Available",Sedan,Automatic,Gasoline
"BMW M5M xDrive

P14,790,000",Sedan,Automatic,Gasoline
"Hyundai Starex / Grand StarexGrand Starex 2.5 CRDi GLS AT (with Swivel)

P2,225,000",Van,Automatic,Diesel
"Hyundai Starex / Grand StarexGrand Starex 2.5 CRDi GLS 5 A/T (Dsl)

P2,328,000",Van,Automatic,Diesel
"Hyundai Starex / Grand Starex2.5 GL 5 M/T (Dsl)

P1,395,000",Van,Manual,Diesel
"Hyundai Starex / Grand Starex2.5 CRDi GLS 5AT (Urban)

P2,938,000",,Automatic,Diesel
"Peugeot 50081.6 THP

P3,190,000",SUV,Automatic,Gasoline
"Suzuki Swift1.2 GL MT

P755,000",Wagon/Hatchback,Manual,Gasoline
"Suzuki Swift1.2 GL CVT

P799,000",Wagon/Hatchback,Automatic,Gasoline
"Suzuki Swift1.2 GLX CVT

P899,000",Wagon/Hatchback,Automatic,Gasoline
"Suzuki Swift DzireGL

P638,000",Sedan,Manual,Gasoline
"Suzuki Swift DzireGL+

P698,000",Sedan,Automatic,Gasoline
"Volvo S60D4 M/T

Ask price",Sedan,Manual,Diesel
"Volvo S60D4 A/T

Ask price",Sedan,Automatic,Diesel
"Volvo S60T4 M/T

Ask price",Sedan,Manual,Gasoline
"Volvo S60T4 A/T

Ask price",Sedan,Automatic,Diesel
"Volvo S60T6 A/T

Ask price",Sedan,Automatic,Diesel
"Audi A11.4 TFSI 3Dr

Ask price",Wagon/Hatchback,Automatic,Gasoline
"Audi A11.4L TFSI Sportback

Ask price",Wagon/Hatchback,Automatic,Gasoline
"Mazda CX-92.5 Sport Touring FWD

P2,380,000",SUV,Automatic,Gasoline
"Mazda CX-92.5 Signature AWD

P2,950,000",SUV,Automatic,Gasoline
"Ferrari GTC4Lusso6.3 V12

Ask price",Coupe,Automatic,Gasoline
"BYD e6EV

P4,200,000",Wagon/Hatchback,Automatic,Electric
"Nissan Terra2.5 4x2 EL MT

P1,504,000",SUV,Manual,Diesel
"Nissan Terra2.5 4x2 EL AT

P1,620,000",SUV,Automatic,Diesel
"Nissan Terra2.5 4x2 VE AT

P1,707,000",SUV,Automatic,Diesel
"Nissan Terra2.5 4x2 VL AT

P1,909,000",SUV,Automatic,Diesel
"Nissan Terra2.5 4x4 VL AT

P2,106,000",SUV,Automatic,Diesel
"Mitsubishi XpanderGLS Sport A/T

P1,175,000",MPV,Automatic,Gasoline
"Mitsubishi XpanderGLX M/T

P999,000",MPV,Manual,Gasoline
"Mitsubishi XpanderGLX Plus A/T

P1,075,000",MPV,Automatic,Gasoline
"Mitsubishi XpanderGLS A/T

P1,110,000",MPV,Automatic,Gasoline
"Foton TransvanTransvan 2.8L (13-seater)

P1,118,000 Promo Available",Van,Manual,Diesel
"Foton TransvanTransvan HR 2.8L (16-seater)

P1,208,000 Promo Available",Van,Manual,Diesel
"Foton TransvanTransvan 2.8L (15-seater)

P1,118,000 Promo Available",Van,Manual,Diesel
"Toyota Rush1.5 E MT

P968,000",SUV,Manual,Gasoline
