brand,model,transmission,fuel_type,Year of Manufacture,mileage_in_km,color,plate_no,price,location
Tata,Manza,Manual,Diesel,2016,38000,Grey,CS# PT1124 (WITHOUT PLATE),247000,QC
Toyota,Avanza,Automatic,Gasoline,2015,37000,Dark Steel Mica,ATA 6177,501000,QC
Toyota,Avanza,Manual,Gasoline,2017,34000,White,[SALE] CS# VO9708 (WITHOUT PLATES),511000,QC
Toyota,Camry,Automatic,Gasoline,2007,92000,Extreme Black,[SALE] ZJM 471,362000,QC
Toyota,Corolla,Automatic,Gasoline,2017,24000,Black,CS# VI6622 (WITHOUT PLATES),756000,QC
Toyota,FJ Cruiser,Automatic,Gasoline,2016,54000,Beige,NCH 3815,1406000,QC
Toyota,FJ Cruiser,Automatic,Gasoline,2018,12000,Beige,CS# A1 X829(WITHOUT PLATES),1704000,Bacolod
Toyota,Fortuner,Automatic,Diesel,2018,13000,Freedom White,CS# A6 A861 (WITHOUT PLATES),1396000,QC
Toyota,Fortuner,Automatic,Diesel,2014,115000,Extreme Black,AAR 9705,714000,Cagayan De Oro
Toyota,Fortuner,Automatic,Gasoline,2016,24000,Freedom White,[SALE] CS# YT4662 (WITHOUT PLATES),1086000,QC
Toyota,Fortuner,Automatic,Diesel,2014,124000,Lithium,[SALE] AAK 5686,1012000,QC
Toyota,Hiace Commuter,Manual,Diesel,2015,175000,White,AQA 6351,809000,QC
Toyota,Hiace Commuter,Manual,Diesel,2015,178000,White,[SALE] CS# YH3535 (WITHOUT PLATES),679000,Koronadal
Toyota,Hiace Commuter,Manual,Diesel,2016,150000,White,CS# VD0634 (WITHOUT PLATES),852000,Gen. Santos
Toyota,Hiace Commuter,Manual,Diesel,2016,212000,White,CS# VC7494 (WITHOUT PLATES),809000,Bacolod
Toyota,Hiace Commuter,Manual,Diesel,2018,78000,White,CS# A3 T625 (WITHOUT PLATES),1119000,QC
Toyota,Fortuner,Automatic,Diesel,2016,36000,Feedom White,NCG 4218,1236000,Taguig
Toyota,Fortuner,Manual,Diesel,2015,30000,Silver Metallic,[SALE] ABS 3982,990000,Bacolod
Toyota,Fortuner,Manual,Diesel,2015,156000,Freedom White,[SALE] CS# YP1571 (WITHOUT PLATES),980000,Cebu
Toyota,Fortuner,Automatic,Diesel,2016,,White Pearl,[SALE] AAG 2492,969000,Gen. Santos
Toyota,Fortuner,Automatic,Diesel,2015,195000,White Pearl,ARA 4163,1076000,Gen. Santos
Toyota,Hiace Commuter,Manual,Diesel,2016,241000,White,ABH 5757,772000,QC
Toyota,Hiace Commuter,Manual,Diesel,2016,126000,White,[SALE] ADS 7246 (VIRTUAL PLATE) / CS# YX8671 (WITHOUT PLATES),863000,QC
Toyota,Hiace Commuter,Manual,Diesel,2016,161000,White,NDQ 7878,799000,Fort Victoria
Toyota,Hiace Commuter,Manual,Diesel,2017,245000,White,ACP 3473 (WITHOUT PLATES),788000,Panabo City
Toyota,Hiace Commuter,Manual,Diesel,2018,8000,White,CS# A3 L161 (WITHOUT PLATES),1161000,QC
Toyota,Hiace Grandia,Manual,Diesel,2016,92000,Silver Metallic,CS# YV8174 (WITHOUT PLATES),1310000,Panabo City
Toyota,Hiace Grandia,Manual,Diesel,2018,43000,Silver Metallic,CS# A1 S473 (WITHOUT PLATES),1449000,QC
Toyota,Hiace Grandia,Manual,Diesel,2017,74000,White Pearl 2T,CS# VJ4885 (WITHOUT PLATES),1417000,QC
Toyota,Hilux,Automatic,Diesel,2017,46000,Orange Metallic,CS# VJ7653 (WITHOUT PLATES),996000,QC
Toyota,Hilux,Manual,Diesel,2016,83000,Gray Metallic,CS# YY1363 (WITHOUT PLATES),746000,Gen. Santos
Toyota,Hilux,Automatic,Diesel,2017,19000,Red Metallic,[SALE] CS# VL0184 (WITHOUT PLATES),905000,Bacolod
Toyota,Innova,Automatic,Gasoline,2016,42000,Black,CS# VJ7585 (WITHOUT PLATES),831000,QC
Toyota,Innova,Manual,Diesel,2014,136000,Thermalyte,[SALE] AAI 5056,522000,QC
Toyota,Innova,Automatic,Diesel,2017,35000,Red Mica Metallic,CS# A0 X196 (WITHOUT PLATES),970000,Taguig
Toyota,Innova,Manual,Diesel,2017,39000,Black,NAL 6460,948000,Taguig
Toyota,Hiace Grandia,Automatic,Diesel,2015,40000,Extreme Black,AFA 1724,1331000,Bacolod
Toyota,Hiace Grandia,Automatic,Diesel,2016,44000,Silver Metallic,MCV 8464,1428000,Koronadal
Toyota,Hiace Super Grandia,Automatic,Diesel,2016,45000,White Pearl,NCE 2752,1662000,QC
Toyota,Hilux,Manual,Diesel,2015,144000,Freedom White,ARA 9165,746000,QC
Toyota,Hilux,Automatic,Diesel,2016,21000,Silver Metallic,CS# YT5479 (WITHOUT PLATES),948000,QC
Toyota,Hilux,Manual,Diesel,2017,60000,Silver Metallic,CS# VQ3200 (WITHOUT PLATES),970000,Panabo City
Toyota,Innova,Manual,Gasoline,2016,55000,Red Mica Metallic,CS# YX6316 (WITHOUT PLATES),777000,QC
Toyota,Innova,Manual,Diesel,2016,120000,Freedom White,ABT 4588,660000,QC
Toyota,Innova,Manual,Diesel,2016,66000,Black,NDC 1880,778000,QC
Toyota,Innova,Manual,Diesel,2017,62000,Thermalyte,CS# A1 E128 (WITHOUT PLATES),879000,Panabo City
Toyota,Vios,Automatic,Gasoline,2014,94000,Gray Metallic,AAW 6610,363000,QC
Toyota,Vios,Automatic,Gasoline,2016,41000,Dark Brown Metallic,ABQ 9495,453000,QC
Toyota,Vios,Automatic,Gasoline,2016,57000,Dark Brown Metallic,CS# YT6536 (WITHOUT PLATES),426000,QC
Toyota,Vios,Automatic,Gasoline,2017,62000,Black,CS# VX6626 (WITHOUT PLATES),464000,Fort Victoria
Toyota,Vios,Automatic,Gasoline,2018,8000,Black,CS# A5 Y126 (WITHOUT PLATES),554000,QC
Toyota,Vios,Manual,Gasoline,2012,78000,Thermalyte,TJO 360,256000,QC
Toyota,Vios,Manual,Gasoline,2016,55000,Orange Metallic,CS# VB6300 (WITHOUT PLATES),384000,QC
Toyota,Vios,Manual,Gasoline,2017,52000,Red Mica Metallic,CS# VY2819 (WITHOUT PLATES),395000,QC
Toyota,Vios,Manual,Gasoline,2018,16000,Orange Metallic,CS# A4 M662 (WITHOUT PLATES),480000,QC
Toyota,Vios,Manual,Gasoline,2017,72000,Thermalyte,CS# A0 G519 (WITHOUT PLATES),373000,QC
Toyota,Vios,Automatic,Gasoline,2015,79000,Thermalyte,CS# YR5689 (WITHOUT PLATES),384000,Panabo City
Toyota,Vios,Automatic,Gasoline,2016,48000,Orange Metallic,CS# VB5823 (WITHOUT PLATES),458000,QC
Toyota,Vios,Automatic,Gasoline,2017,14000,Thermalyte,CS# WB2871 (WITHOUT PLATES),501000,QC
Toyota,Vios,Automatic,Gasoline,2017,64000,Red Mica Metallic,CS# VK8042 (WITHOUT PLATES),495000,Fort Victoria
Toyota,Vios,Automatic,Gasoline,2018,12000,Alumina Jade Metallic,GAH 1590,554000,QC
Toyota,Vios,Manual,Gasoline,2016,42000,Thermalyte,CS# YZ8313 (WITHOUT PLATES),316000,QC
Toyota,Vios,Manual,Gasoline,2017,33000,Orange Metallic,CS# VV9249 (WITHOUT PLATES),437000,Bacolod
Toyota,Vios,Manual,Gasoline,2018,10000,Blackish Red Mica,CS# A5 I383 (WITHOUT PLATES),490000,QC
Toyota,Vios,Manual,Gasoline,2018,29000,Blackish Red Mica,CS# A2 C377 (WITHOUT PLATES),548000,QC
Toyota,Vios,Automatic,Gasoline,2016,3000,Black,CS# NS4691 (WITHOUT PLATES),543000,Fort Victoria
Toyota,Vios,Automatic,Gasoline,2017,43000,Alumina Jade Metallic,CS# VN3111 (WITHOUT PLATES),596000,QC
Toyota,Vios,Automatic,Gasoline,2018,5000,Orange Metallic,CS# A5 E217 (WITHOUT PLATES),863000,QC
Toyota,Wigo,Manual,Gasoline,2018,300,Gray Metallic,CS# A5 R552 (WITHOUT PLATES),474000,QC
Toyota,Wigo,Automatic,Gasoline,2017,12000,Gray Metallic,CS# A0 C034 (WITHOUT PLATES),415000,Fort Victoria
Toyota,Wigo,Automatic,Gasoline,2017,60000,White,CS# VX9626 (WITHOUT PLATES),347000,QC
Volvo,S40,Automatic,Gasoline,2012,50000,Flamenco Red,[SALE] AKK 99,602000,QC
Toyota,Vios,Manual,Gasoline,2017,5000,Alumina Jade Metallic,CS# C1 C635 (WITHOUT PLATES),639000,QC
Toyota,Vios,Automatic,Gasoline,2018,9000,Orange,CS# A4 M030 (WITHOUT PLATES),714000,QC
Toyota,Wigo,Automatic,Gasoline,2015,76000,Black,AKA 9777,299000,YMCA (Manila)
Toyota,Wigo,Automatic,Gasoline,2017,40000,White,CS# A0 W199 (WITHOUT PLATES),357000,Fort Victoria
Toyota,Yaris,Automatic,Gasoline,2018,8000,Gray Metallic,CS# A4 X608 (WITHOUT PLATES),874000,Taguig
