brand,model,transmission,fuel_type,Year of Manufacture,mileage_in_km,color,plate_no,price,location
Foton,Thunder,Manual,Diesel,2016,36000,Black,[SALE] CS# GB5550 (WITHOUT PLATES),650000,Bacolod
Foton,Toplander,Manual,Diesel,2016,8000,Black,CS# GB3496 (WITHOUT PLATES),793000,Gen. Santos
Foton,Tornado,Manual,Diesel,2014,,White,AAF 6906,299000,Panabo City
Foton,Tornado,Manual,Diesel,2015,24000,White,[SALE] CS# GA9399 (WITHOUT PLATES),522000,Bacolod
Foton,View,Manual,Diesel,2017,37000,White,CS# GB8117 (WITHOUT PLATES),746000,QC
Foton,View,Manual,Diesel,2017,5000,White,CS# GB7724 (WITHOUT PLATES),767000,Panabo City
Foton,View Traveller,Manual,Diesel,2017,29000,Black,CS# GC0712 (WITHOUT PLATES),895000,QC
Foton,View Traveller,Manual,Diesel,2016,96000,White,[SALE] AEB 1442 CS# GB4192 (WITHOUT PLATES),809000,QC
Foton,View Traveller,Manual,Diesel,2014,193000,White,[SALE] 062015855 (TEMPORARY PLATE),373000,Bacolod
Honda,Accord,Automatic,Gasoline,2011,101000,Crystal Black,TIE 902,453000,QC
Honda,City,Automatic,Gasoline,2016,54000,Modern Steel,ABY 9424 (WITHOUT PLATES),414000,Panabo
Honda,City,Automatic,Gasoline,2018,11000,Modern Steel Metallic,CS# DV9446 (WITHOUT PLATES),746000,QC
Honda,City,Automatic,Gasoline,2014,45000,Gold Brown,ABI 4061,426000,Fort Victoria
Honda,CR-V,Automatic,Gasoline,2017,36000,Modern Steel,CS# DU2258 (WITHOUT PLATES),970000,QC
Foton,View,Manual,Diesel,2015,58000,White,[SALE] ABN 3066,462000,Bacolod
Foton,View,Manual,Diesel,2017,11000,White,CS# GB8185 (WITHOUT PLATES),756000,Panabo
Foton,View Traveller,Manual,Diesel,2017,9000,White,[SALE] CS# GB8519 (WITHOUT PLATE),990000,QC
Foton,View Traveller,Manual,Diesel,2016,143000,Silver,[SALE] CS# GB4523 (WITHOUT PLATES),714000,Bacolod
Great Wall,Haval,Manual,Gasoline,2014,30000,Pearl Black,[SALE] AQA 8432,282000,QC
Honda,City,Manual,Gasoline,2010,38000,Habanero Red,NOH 642,347000,Panabo City
Honda,City,Automatic,Gasoline,2018,21000,Lunar Silver,CS# E0 K892 (WITHOUT PLATES),756000,Cebu
Honda,City,Automatic,Gasoline,2018,24000,Lunar Silver,CS# DV7887 (WITHOUT PLATES),767000,QC
Honda,City,Automatic,Gasoline,2018,5000,Ruby Red Pearl,CS# E0 G864 (WITHOUT PLATES),841000,QC
Honda,CR-V,Automatic,Gasoline,2012,26000,White Orchid Pearl,[SALE] UXI 326,820000,QC
Honda,HR-V,Automatic,Gasoline,2016,13000,Modern Steel,[SALE] CS# DT8934 (WITHOUT PLATES),1054000,Panabo
Honda,Jazz,Automatic,Gasoline,2017,52000,Rallye Red,NAS 7516,757000,QC
Honda,Mobilio,Automatic,Gasoline,2016,28000,Brilliant Sporty Blue,CS# DU7859 (WITHOUT PLATES),639000,QC
Hyundai,Accent,Manual,Gasoline,2015,24000,Sonic Silver,CS# MN6255 (WITHOUT PLATES),350000,Bacolod
Hyundai,Accent,Manual,Gasoline,2015,77000,Misty Beige,ABQ 8285,341000,QC
Hyundai,Accent,Manual,Gasoline,2016,29000,Sleek Silver,CS# MP2047 (WITHOUT PLATES),373000,Fort Victoria
Hyundai,Accent,Manual,Gasoline,2016,7000,Veloster Red,CS# MP5363 (WITHOUT PLATES),373000,YMCA (Manila)
Hyundai,Accent,Automatic,Gasoline,2016,16000,Veloster Red,CS# MP7691 (WITHOUT PLATES),375000,QC
Hyundai,Accent,Automatic,Gasoline,2016,51000,Phantom Black,NCE 2473,373000,QC
Hyundai,Accent,Automatic,Gasoline,2017,37000,Phantom Black,CS# MS3127 (WITHOUT PLATES),375000,QC
Honda,Jazz,Automatic,Gasoline,2016,48000,Taffeta White,CS# DS1785 (WITHOUT PLATES),661000,QC
Honda,Mobilio,Automatic,Gasoline,2016,10000,Taffeta White,CS# DU5066 (WITHOUT PLATES),671000,QC
Hyundai,Accent,Automatic,Gasoline,2016,37000,Crystal White,CS# MP1002 (WITHOUT PLATES),379000,QC
Hyundai,Accent,Manual,Gasoline,2015,48000,Crystal White,ABQ 8288,346000,QC
Hyundai,Accent,Manual,Gasoline,2016,,Silver,CS# MP5258 (WITHOUT PLATES),329000,QC
Hyundai,Accent,Manual,Gasoline,2016,98000,Veloster Red,ACI 1790,320000,Fort Victoria
Hyundai,Accent,Manual,Gasoline,2016,32000,Silver,ADN 4026 (TEMPORARY PLATES),378000,Cebu
Hyundai,Accent,Automatic,Gasoline,2016,31000,Sleek Silver,NCY 4009,373000,QC
